"ID","days","latitude","longitude","elevation","IGBP","Koppen","reference_paper","IGBP_2","Koppen_2"
"AR-SLu",141,-33.4648,-66.4598,713,"MF","BSk","Ulke, A. G., Gattinoni, N. N. and Posse, G.: Analysis and modelling of turbulent fluxes in two different ecosystems in Argentina, Int. J. Environ. Pollut., 58(1-2), 52–62, 2015.","Forest","Arid"
"AT-Neu",2506,47.1167,11.3175,970,"GRA","Dfc - Snow fully humid cool summer","Wohlfahrt, G., Hammerle, A., Haslwanter, A., Bahn, M., Tappeiner, U. and Cernusca, A.: Seasonal and inter-annual variability of the net ecosystem CO2 exchange of a temperate mountain grassland: Effects of weather and management, J. Geophys. Res., 113(D8), D08110, 2008.","Grassland","Cold"
"AU-Ade",479,-13.0769,131.1178,76,"WSA","Aw - Equatorial savannah with dry winter","Beringer, J., Hacker, J., Hutley, L. B., Leuning, R., Arndt, S. K., Amiri, R., Bannehr, L., Cernusak, L., Grover, S., Hensley, C., Hocking, D., Isaac, P., Jamali, H., Kanniah, K., Livesley, S., Neininger, B., Tha Paw U, K., Sea, W., Straten, D., Tapper, N., Weinmann, R., Wood, S. and Zegelin, S.: SPECIAL—Savanna Patterns of Energy and Carbon Integrated across the Landscape, Bull. Am. Meteorol. Soc., 92(11), 1467–1485, 2011b.","Savanna","Tropical"
"AU-ASM",1411,-22.283,133.249,605,"SAV","BSh - Arid Steppe hot","Cleverly, J., Boulain, N., Villalobos-Vega, R., Grant, N., Faux, R., Wood, C., Cook, P. G., Yu, Q., Leigh, A. and Eamus, D.: Dynamics of component carbon fluxes in a semi-arid Acacia woodland, central Australia, J. Geophys. Res. Biogeosci., 118(3), 1168–1185, 2013.","Savanna","Arid"
"AU-Cpr",1376,-34.0021,140.5891,63,"SAV","BSk - Arid Steppe cold","Meyer, W. S., Kondrlovà, E. and Koerber, G. R.: Evaporation of perennial semi-arid woodland in southeastern Australia is adapted for irregular but common dry periods, Hydrol. Process., 29(17), 3714–3726, 2015.","Savanna","Arid"
"AU-Cum",494,-33.6152,150.7236,39,"EBF","Cfa - Warm temperate fully humid with hot summer","Beringer, J., Hutley, L. B., McHugh, I., Arndt, S. K., Campbell, D., Cleugh, H. A., Cleverly, J., Resco de Dios, V., Eamus, D., Evans, B., Ewenz, C., Grace, P., Griebel, A., Haverd, V., Hinko-Najera, N., Huete, A., Isaac, P., Kanniah, K., Leuning, R., Liddell, M. J., Macfarlane, C., Meyer, W., Moore, C., Pendall, E., Phillips, A., Phillips, R. L., Prober, S. M., Restrepo-Coupe, N., Rutledge, S., Schroder, I., Silberstein, R., Southall, P., Yee, M. S., Tapper, N. J., Gorsel, E. van, Vote, C., Walker, J. and ","Forest","Temperate"
"AU-DaP",1935,-14.0633,131.3181,70,"GRA","Aw - Equatorial savannah with dry winter","Beringer, J., Hutley, L. B., Hacker, J. M., Neininger, B. and Paw U, K. T.: Patterns and processes of carbon, water and energy cycles across northern Australian landscapes: From point to region, Agric. For. Meteorol., 151(11), 1409–1416, 2011a.","Grassland","Tropical"
"AU-DaS",2345,-14.1593,131.3881,73,"SAV","Aw - Equatorial savannah with dry winter","Hutley, L. B., Beringer, J., Isaac, P. R., Hacker, J. M. and Cernusak, L. A.: A sub-continental scale living laboratory: Spatial patterns of savanna vegetation over a rainfall gradient in northern Australia, Agric. For. Meteorol., 151(11), 1417–1428, 2011.","Savanna","Tropical"
"AU-Dry",1396,-15.2588,132.3706,177,"SAV","Aw - Equatorial savannah with dry winter","Cernusak, L. A., Hutley, L. B., Beringer, J., Holtum, J. A. M. and Turner, B. L.: Photosynthetic physiology of eucalypts along a sub-continental rainfall gradient in northern Australia, Agric. For. Meteorol., 151(11), 1462–1470, 2011.","Savanna","Tropical"
"AU-Emr",825,-23.8587,148.4746,174,"GRA","BSh","Schroder, I., Kuske, T. and Zegelin, S.: Eddy Covariance Dataset for Arcturus (2011-2013), Geoscience Australia, Canberra, , doi:102.100.100/14249, 2014.","Grassland","Arid"
"AU-Fog",749,-12.5452,131.3072,4,"WET","Aw - Equatorial savannah with dry winter","Beringer, J., Livesley, S. J., Randle, J. and Hutley, L. B.: Carbon dioxide fluxes dominate the greenhouse gas exchanges of a seasonal wetland in the wet–dry tropics of northern Australia, Agric. For. Meteorol., 182–183, 239–247, 2013.","Wetland","Tropical"
"AU-Gin",821,-31.3764,115.7138,51,"WSA","Csa - Warm temperate with dry, hot summer",NA,"Savanna","Temperate"
"AU-GWW",345,-30.1913,120.6541,446,"SAV","BSh",NA,"Savanna","Arid"
"AU-How",2353,-12.4943,131.1523,39,"WSA","Aw - Equatorial savannah with dry winter","Beringer, J., Hutley, L. B., Tapper, N. J. and Cernusak, L. A.: Savanna fires and their impact on net ecosystem productivity in North Australia, Glob. Chang. Biol., 13(5), 990–1004, 2007.","Savanna","Tropical"
"AU-Lox",286,-34.4704,140.6551,44,"DBF","BSk","Stevens, R. M., Ewenz, C. M., Grigson, G. and Conner, S. M.: Water use by an irrigated almond orchard, Irrig. Sci., 30(3), 189–200, 2012.","Forest","Arid"
"AU-RDF",515,-14.5636,132.4776,190,"WSA","Aw","Bristow, M., Hutley, L. B., Beringer, J., Livesley, S. J., Edwards, A. C. and Arndt, S. K.: Quantifying the relative importance of greenhouse gas emissions from current and future savanna land use change across northern Australia, Biogeosciences, 13(22), 6285–6303, 2016.","Savanna","Tropical"
"AU-Rig",920,-36.6499,145.5759,150,"GRA","Cfb - Warm temperate fully humid with warm summer","Beringer, J., Hutley, L. B., McHugh, I., Arndt, S. K., Campbell, D., Cleugh, H. A., Cleverly, J., Resco de Dios, V., Eamus, D., Evans, B., Ewenz, C., Grace, P., Griebel, A., Haverd, V., Hinko-Najera, N., Huete, A., Isaac, P., Kanniah, K., Leuning, R., Liddell, M. J., Macfarlane, C., Meyer, W., Moore, C., Pendall, E., Phillips, A., Phillips, R. L., Prober, S. M., Restrepo-Coupe, N., Rutledge, S., Schroder, I., Silberstein, R., Southall, P., Yee, M. S., Tapper, N. J., Gorsel, E. van, Vote, C., Walker, J. and ","Grassland","Temperate"
"AU-Rob",267,-17.1175,145.6301,710,"EBF","Cfa","Beringer, J., Hutley, L. B., McHugh, I., Arndt, S. K., Campbell, D., Cleugh, H. A., Cleverly, J., Resco de Dios, V., Eamus, D., Evans, B., Ewenz, C., Grace, P., Griebel, A., Haverd, V., Hinko-Najera, N., Huete, A., Isaac, P., Kanniah, K., Leuning, R., Liddell, M. J., Macfarlane, C., Meyer, W., Moore, C., Pendall, E., Phillips, A., Phillips, R. L., Prober, S. M., Restrepo-Coupe, N., Rutledge, S., Schroder, I., Silberstein, R., Southall, P., Yee, M. S., Tapper, N. J., Gorsel, E. van, Vote, C., Walker, J. and ","Forest","Temperate"
"AU-Stp",1627,-17.1507,133.3502,228,"GRA","BSh - Arid Steppe hot","Beringer, J., Hutley, L. B., Hacker, J. M., Neininger, B. and Paw U, K. T.: Patterns and processes of carbon, water and energy cycles across northern Australian landscapes: From point to region, Agric. For. Meteorol., 151(11), 1409–1416, 2011a.","Grassland","Arid"
"AU-TTE",882,-22.287,133.64,552,"GRA","BWh - Arid desert hot",NA,"Grassland","Arid"
"AU-Tum",2505,-35.6566,148.1517,1200,"EBF","Cfb - Warm temperate fully humid with warm summer","Leuning, R., Cleugh, H. A., Zegelin, S. J. and Hughes, D.: Carbon and water fluxes over a temperate Eucalyptus forest and a tropical wet/dry savanna in Australia: measurements and comparison with MODIS remote sensing estimates, Agric. For. Meteorol., 129(3–4), 151–173, 2005.","Forest","Temperate"
"AU-Wac",985,-37.4259,145.1878,753,"EBF","Cfb - Warm temperate fully humid with warm summer","Kilinc, M., Beringer, J., Hutley, L. B., Tapper, N. J. and McGuire, D. A.: Carbon and water exchange of the world’s tallest angiosperm forest, Agric. For. Meteorol., 182–183, 215–224, 2013.","Forest","Temperate"
"AU-Whr",792,-36.6732,145.0294,152,"EBF","Cfb - Warm temperate fully humid with warm summer","McHugh, I. D., Beringer, J., Cunningham, S. C., Baker, P. J., Cavagnaro, T. R., Mac Nally, R. and Thompson, R. M.: Interactions between nocturnal turbulent flux, storage and advection at an “ideal” eucalypt woodland site, Biogeoscience, 14, 3027-3050, 2017.","Forest","Temperate"
"AU-Wom",1007,-37.4222,144.0944,705,"EBF","Cfb - Warm temperate fully humid with warm summer",NA,"Forest","Temperate"
"AU-Ync",714,-34.9893,146.2907,126,"GRA","BSk - Arid Steppe cold","Yee, M. S., Pauwels, V. R. N., Daly, E., Beringer, J., Rüdiger, C., McCabe, M. F. and Walker, J. P.: A comparison of optical and microwave scintillometers with eddy covariance derived surface heat fluxes, Agric. For. Meteorol., 213, 226–239, 2015.","Grassland","Arid"
"BE-Bra",3729,51.3076,4.5198,16,"MF","Cfb - Warm temperate fully humid with warm summer","Carrara, A., Janssens, I. A., Curiel Yuste, J. and Ceulemans, R.: Seasonal changes in photosynthesis, respiration and NEE of a mixed temperate forest, Agric. For. Meteorol., 126(1–2), 15–31, 2004.","Forest","Temperate"
"BE-Lon",1853,50.5516,4.7462,167,"CRO","Cfb - Warm temperate fully humid with warm summer","Moureaux, C., Debacq, A., Bodson, B., Heinesch, B. and Aubinet, M.: Annual net ecosystem carbon exchange by a sugar beet crop, Agric. For. Meteorol., 139(1–2), 25–39, 2006.","Cropland","Temperate"
"BE-Vie",3448,50.3049,5.9981,493,"MF","Cfb - Warm temperate fully humid with warm summer","Aubinet, M., Chermanne, B., Vandenhaute, M., Longdoz, B., Yernaux, M. and Laitat, E.: Long term carbon dioxide exchange above a mixed forest in the Belgian Ardennes, Agric. For. Meteorol., 108(4), 293–315, 2001.","Forest","Temperate"
"CA-Gro",2359,48.2167,-82.1556,340,"MF","Dfb - Snow fully humid warm summer","Barr, A., Richardson, A., Hollinger, D., Papale, D., Arain, M., Black, T., Bohrer, G., Dragoni, D., Fischer, M., Gu, L., Law, B., Margolis, H., McCaughey, J., Munger, J., Oechel, W., Schaeffer, K. (2013) Use Of Change-Point Detection For Friction–Velocity Threshold Evaluation In Eddy-Covariance Studies, Agricultural And Forest Meteorology, 171-172(7), 31-45","Forest","Cold"
"CA-Obs",958,53.9872,-105.1178,628.94,"ENF","Dfc - Snow fully humid cool summer","Barr, A., Richardson, A., Hollinger, D., Papale, D., Arain, M., Black, T., Bohrer, G., Dragoni, D., Fischer, M., Gu, L., Law, B., Margolis, H., McCaughey, J., Munger, J., Oechel, W., Schaeffer, K. (2013) Use Of Change-Point Detection For Friction–Velocity Threshold Evaluation In Eddy-Covariance Studies, Agricultural And Forest Meteorology, 171-172(5), 31-45","Forest","Cold"
"CA-Qfo",1761,49.6925,-74.3421,382,"ENF","Dfc - Snow fully humid cool summer","Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, 45(1), 9275–9287","Forest","Cold"
"CA-SF1",712,54.485,-105.8176,536,"ENF","Dfc - Snow fully humid cool summer","Amiro, B. (2009) Measuring Boreal Forest Evapotranspiration Using The Energy Balance Residual, Journal Of Hydrology, 366(1-4), 112-118","Forest","Cold"
"CA-SF2",472,54.2539,-105.8775,520,"ENF","Dfc - Snow fully humid cool summer","Amiro, B. (2009) Measuring Boreal Forest Evapotranspiration Using The Energy Balance Residual, Journal Of Hydrology, 366(1-4), 112-118","Forest","Cold"
"CA-SF3",781,54.0916,-106.0053,540,"OSH","Dfc - Snow fully humid cool summer","Amiro, B. (2009) Measuring Boreal Forest Evapotranspiration Using The Energy Balance Residual, Journal Of Hydrology, 366(1-4), 112-118","Shrubland","Cold"
"CA-TP1",3186,42.6609,-80.5595,265,"ENF","Dfb - Snow fully humid warm summer","Arain, M. A., Restrepo-Coupe, N. (2005) Net Ecosystem Production In A Temperate Pine Plantation In Southeastern Canada, Agricultural And Forest Meteorology, 128(3-4), 223-241","Forest","Cold"
"CA-TP2",1561,42.7744,-80.4588,212,"ENF","Dfb - Snow fully humid warm summer","Arain, M. A., Restrepo-Coupe, N. (2005) Net Ecosystem Production In A Temperate Pine Plantation In Southeastern Canada, Agricultural And Forest Meteorology, 128(3-4), 223-241","Forest","Cold"
"CA-TP3",2500,42.7068,-80.3483,184,"ENF","Dfb - Snow fully humid warm summer","Arain, M. A., Restrepo-Coupe, N. (2005) Net Ecosystem Production In A Temperate Pine Plantation In Southeastern Canada, Agricultural And Forest Meteorology, 128(3-4), 223-241","Forest","Cold"
"CA-TP4",2983,42.7102,-80.3574,184,"ENF","Dfb - Snow fully humid warm summer","Arain, M. A., Restrepo-Coupe, N. (2005) Net Ecosystem Production In A Temperate Pine Plantation In Southeastern Canada, Agricultural And Forest Meteorology, 128(3-4), 223-241","Forest","Cold"
"CA-TPD",881,42.6353,-80.5577,260,"DBF","Dfb - Snow fully humid warm summer","Chu, H., Baldocchi, D. D., Poindexter, C., Abraha, M., Desai, A. R., Bohrer, G., Arain, M. A., Griffis, T., Blanken, P. D., O'Halloran, T. L., Thomas, R. Q., Zhang, Q., Burns, S. P., Frank, J. M., Christian, D., Brown, S., Black, T. A., Gough, C. M., Law, B. E., Lee, X., Chen, J., Reed, D. E., Massman, W. J., Clark, K., Hatfield, J., Prueger, J., Bracho, R., Baker, J. M., Martin, T. A. (2018) Temporal Dynamics Of Aerodynamic Canopy Height Derived From Eddy Covariance Momentum Flux Data Across North American Flux Networks, Geophysical Research Letters, 45(), 9275–9287","Forest","Cold"
"CH-Cha",1020,47.2102,8.4104,393,"GRA","Cfb - Warm temperate fully humid with warm summer","Merbold, L., Eugster, W., Stieger, J., Zahniser, M., Nelson, D. and Buchmann, N.: Greenhouse gas budget (CO2, CH4 and N2O) of intensively managed grassland following restoration, Glob. Chang. Biol., 20(6), 1913–1928, 2014.","Grassland","Temperate"
"CH-Dav",1966,46.8153,9.8559,1639,"ENF","ET - Polar tundra","Zielis, S., Etzold, S., Zweifel, R., Eugster, W., Haeni, M. and Buchmann, N.: NEP of a Swiss subalpine forest is significantly driven not only by current but also by previous year’s weather, Biogeosciences, 11(6), 1627–1635, 2014.","Forest","Polar"
"CH-Fru",1454,47.1158,8.5378,982,"GRA","Cfb - Warm temperate fully humid with warm summer","Imer, D., Merbold, L., Eugster, W. and Buchmann, N.: Temporal and spatial variations of soil CO2, CH4 and N2O fluxes at three differently managed grasslands, Biogeosciences, 10(9), 5931–5945, 2013.","Grassland","Temperate"
"CN-Cng",1004,44.5934,123.5092,143,"GRA","Dwa",NA,"Grassland","Cold"
"CN-Du2",764,42.0467,116.2836,1321,"GRA","Dwb - Snow dry winter warm summer","Chen, S., Chen, J., Lin, G., Zhang, W., Miao, H., Wei, L., Huang, J. and Han, X.: Energy balance and partition in Inner Mongolia steppe ecosystems with different land use types, Agric. For. Meteorol., 149(11), 1800–1809, 2009.","Grassland","Cold"
"CN-Du3",275,42.0551,116.2809,1313,"GRA","Dwb - Snow dry winter warm summer",NA,"Grassland","Cold"
"CN-HaM",594,37.37,101.18,4006,"GRA","ET","Kato, T., Tang, Y., Gu, S., Hirota, M., Du, M., Li, Y. and Zhao, X.: Temperature and biomass influences on interannual changes in CO2 exchange in an alpine meadow on the Qinghai-Tibetan Plateau, Glob. Chang. Biol., 12(7), 1285–1298, 2006.","Grassland","Polar"
"CZ-wet",1394,49.0247,14.7704,426,"WET","Cfb - Warm temperate fully humid with warm summer","Dušek, J., Čížková, H., Stellner, S., Czerný, R. and Květ, J.: Fluctuating water table affects gross ecosystem production and gross radiation use efficiency in a sedge-grass marsh, Hydrobiologia, 692(1), 57–66, 2012.","Wetland","Temperate"
"DE-Geb",3990,51.0997,10.9146,161.5,"CRO","Cfb - Warm temperate fully humid with warm summer","Anthoni, P. M., Knohl, A., Rebmann, C., Freibauer, A., Mund, M., Ziegler, W., Kolle, O. and Schulze, E.-D.: Forest and agricultural land-use-dependent CO2 exchange in Thuringia, Germany, Glob. Chang. Biol., 10(12), 2005–2019, 2004.","Cropland","Temperate"
"DE-Gri",2659,50.95,13.5126,385,"GRA","Cfb - Warm temperate fully humid with warm summer","Prescher, A.-K., Grünwald, T., Bernhofer, C: Land use regulates carbon budgets in eastern Germany: From NEE to NBP. Agric. For. Meteorol., 150, 1016-1025, 2010.","Grassland","Temperate"
"DE-Hai",3421,51.0792,10.4522,430,"DBF","Cfb - Warm temperate fully humid with warm summer","Knohl, A., Schulze, E.-D., Kolle, O. and Buchmann, N.: Large carbon uptake by an unmanaged 250-year-old deciduous forest in Central Germany, Agric. For. Meteorol., 118(3–4), 151–167, 2003.","Forest","Temperate"
"DE-Kli",1914,50.8931,13.5224,478,"CRO","Cfb - Warm temperate fully humid with warm summer","Prescher, A.-K., Grünwald, T., Bernhofer, C: Land use regulates carbon budgets in eastern Germany: From NEE to NBP. Agric. For. Meteorol., 150, 1016-1025, 2010.","Cropland","Temperate"
"DE-Lkb",1008,49.0996,13.3047,1308,"ENF","Cfb - Warm temperate fully humid with warm summer","Lindauer, M., Schmid, H. P., Grote, R., Mauder, M., Steinbrecher, R. and Wolpert, B.: Net ecosystem exchange over a non-cleared wind-throw-disturbed upland spruce forest—Measurements and simulations, Agric. For. Meteorol., 197, 219–234, 2014.","Forest","Temperate"
"DE-Lnf",1748,51.3282,10.3678,451,"DBF","Cfb - Warm temperate fully humid with warm summer","Anthoni, P. M., Knohl, A., Rebmann, C., Freibauer, A., Mund, M., Ziegler, W., Kolle, O. and Schulze, E.-D.: Forest and agricultural land-use-dependent CO2 exchange in Thuringia, Germany, Glob. Chang. Biol., 10(12), 2005–2019, 2004.","Forest","Temperate"
"DE-Obe",1328,50.7867,13.7213,734,"ENF","Cfb - Warm temperate fully humid with warm summer",NA,"Forest","Temperate"
"DE-Seh",722,50.8706,6.4497,103,"CRO","Cfb - Warm temperate fully humid with warm summer","Schmidt, M., Reichenau, T. G., Fiener, P. and Schneider, K.: The carbon budget of a winter wheat field: An eddy covariance analysis of seasonal and inter-annual variability, Agric. For. Meteorol., 165, 114–126, 2012.","Cropland","Temperate"
"DE-SfN",556,47.8064,11.3275,590,"WET","Cfb - Warm temperate fully humid with warm summer","Hommeltenberg, J., Schmid, H. P., Drösler, M. and Werle, P.: Can a bog drained for forestry be a stronger carbon sink than a natural bog forest?, Biogeosciences, 11(13), 3477–3493, 2014.","Wetland","Temperate"
"DE-Tha",4753,50.9626,13.5651,385,"ENF","Cfb - Warm temperate fully humid with warm summer","Grünwald, T. and Bernhofer, C.: A decade of carbon, water and energy flux measurements of an old spruce forest at the Anchor Station Tharandt, Tellus B Chem. Phys. Meteorol., 59(3), 387–396, 2007.","Forest","Temperate"
"DK-Eng",678,55.6905,12.1918,10,"GRA","Cfb - Warm temperate fully humid with warm summer",NA,"Grassland","Temperate"
"DK-Fou",199,56.4842,9.5872,51,"CRO","Cfb - Warm temperate fully humid with warm summer",NA,"Cropland","Temperate"
"DK-Sor",1924,55.4859,11.6446,40,"DBF","Cfb - Warm temperate fully humid with warm summer","Pilegaard, K., Ibrom, A., Courtney, M. S., Hummelshøj, P. and Jensen, N. O.: Increasing net CO2 uptake by a Danish beech forest during the period from 1996 to 2009, Agric. For. Meteorol., 151(7), 934–946, 2011.","Forest","Temperate"
"ES-Amo",958,36.8336,-2.2523,58,"OSH","BSk - Arid Steppe cold","López-Ballesteros, A., Serrano-Ortiz, P., Kowalski, A.S., Sánchez-Cañete, E.P., Scott, R.L. and Domingo F.: Subterranean ventilation of allochthonous CO governs net CO exchange in a semiarid Mediterranean grassland, Agricultural and Forest Meteorology, 234, 115-126, 2017.","Shrubland","Arid"
"ES-LgS",639,37.0979,-2.9658,2267,"OSH","Csa - Warm temperate with dry, hot summer","Reverter, B. R., Sánchez-Cañete, E. P., Resco, V., Serrano-Ortiz, P., Oyonarte, C. and Kowalski, A. S.: Analyzing the major drivers of NEE in a Mediterranean alpine shrubland, Biogeosciences, 7(9), 2601–2611, 2010.","Shrubland","Temperate"
"ES-LJu",2451,36.9266,-2.7521,1600,"OSH","Csa - Warm temperate with dry, hot summer","Serrano-Ortiz, P., Domingo, F., Cazorla,  A., Were, A., Cuezva, S., Villagarcía, L., Alados-Arboledas, L. and Kowalski, A.S.: Interannual CO2 exchange of a sparse Mediterranean shrubland on a carbonaceous substrate, J. Geophys. Res., 114, G04015, 2009.","Shrubland","Temperate"
"FI-Hyy",739,61.8474,24.2948,181,"ENF","Dfc - Snow fully humid cool summer","Suni, T., Rinne, J., Reissell, A., Altimir, N., Keronen, P., Rannik, Ü., Maso, M. D., Kulmala, M. and Vesala, T.: Long-term measurements of surface fluxes above a Scots pine forest in Hyytiälä, southern Finland, 1996–2001, BOREAL ENVIRONEMNT RESEARCH, 8, 287–301, 2003.","Forest","Cold"
"FI-Jok",711,60.8986,23.5134,109,"CRO","Dfc - Snow fully humid cool summer","Lohila, A., Aurela, M., Tuovinen, J.-P. and Laurila, T.: Annual CO2 exchange of a peat field growing spring barley or perennial forage grass, J. Geophys. Res., 109(D18), D18116, 2004.","Cropland","Cold"
"FI-Let",392,60.6418,23.9595,111,"ENF","Dfb - Snow fully humid warm summer","Korkiakoski M., Tuovinen J-P., Aurela M., Koskinen M., Minkkinen K., Ojanen P., Penttilä T., Rainne J., Laurila T. and Lohila A. (2017) Methane exchange at the peatland forest floor - automatic chamber system exposes the dynamics of small fluxes, Biogeosciences, 14, 1947-1967.","Forest","Cold"
"FI-Sod",655,67.3624,26.6386,180,"ENF","Dfc - Snow fully humid cool summer","Thum, T., Aalto, T., Laurila, T., Aurela, M., Kolari, P. and Hari, P.: Parametrization of two photosynthesis models at the canopy scale in a northern boreal Scots pine forest, Tellus B Chem. Phys. Meteorol., 59(5), 874–890, 2007.","Forest","Cold"
"FR-Gri",3029,48.8442,1.9519,125,"CRO","Cfb - Warm temperate fully humid with warm summer","Loubet B., Laville P., Lehuger S., Larmanou E., Fléchard C., Mascher N., Génermont S., Roche R., Ferrara R.M., Stella P., Personne E., Durand B., Decuq C., Flura D., Masson S., Fanucci O., Rampon J.N., Siemens J., Kindler R., Gabrielle B., Schrumpf M. and Cellier P.: Carbon, nitrogen and Greenhouse gases budgets over a four years crop rotation in northern France Plant and Soil, 343, 1/2, 109–137, 2011.","Cropland","Temperate"
"FR-LBr",3115,44.7171,-0.7693,61,"ENF","Cfb - Warm temperate fully humid with warm summer","Berbigier, P., Bonnefond, J.-M. and Mellmann, P.: CO2 and water vapour fluxes for 2 years above Euroflux forest site, Agric. For. Meteorol., 108(3), 183–197, 2001.","Forest","Temperate"
"FR-Pue",3253,43.7413,3.5957,270,"EBF","Csa - Warm temperate with dry, hot summer","Rambal, S., Joffre, R., Ourcival, J. M., Cavender-Bares, J. and Rocheteau, A.: The growth respiration component in eddy CO2 flux from a Quercus ilex mediterranean forest, Glob. Chang. Biol., 10(9), 1460–1469, 2004.","Forest","Temperate"
"GH-Ank",491,5.2685,-2.6942,124,"EBF","Am - Equatorial monsoon","Chiti, T., Certini, G., Grieco, E. and Valentini, R.: The role of soil in storing carbon in tropical rainforests: the case of Ankasa Park, Ghana, Plant Soil, 331, 453-461, 2010.","Forest","Tropical"
"IT-BCi",781,40.5237,14.9574,20,"CRO","Csa - Warm temperate with dry, hot summer","Vitale, L., Di Tommasi, P., D’Urso, G. and Magliulo, V.: The response of ecosystem carbon fluxes to LAI and environmental drivers in a maize crop grown in two contrasting seasons, Int. J. Biometeorol., 60(3), 411–420, 2016.","Cropland","Temperate"
"IT-CA1",262,42.3804,12.0266,200,"DBF","Csa - Warm temperate with dry, hot summer","Sabbatini, S., Arriga, N., Bertolini, T., Castaldi, S., Chiti, T., Consalvo, C., Njakou Djomo, S., Gioli, B., Matteucci, G. and Papale, D.: Greenhouse gas balance of cropland conversion to bioenergy poplar short-rotation coppice, Biogeosciences, 13(1), 95–113, 2016.","Forest","Temperate"
"IT-CA2",312,42.3772,12.026,200,"CRO","Csa - Warm temperate with dry, hot summer","Sabbatini, S., Arriga, N., Bertolini, T., Castaldi, S., Chiti, T., Consalvo, C., Njakou Djomo, S., Gioli, B., Matteucci, G. and Papale, D.: Greenhouse gas balance of cropland conversion to bioenergy poplar short-rotation coppice, Biogeosciences, 13(1), 95–113, 2016.","Cropland","Temperate"
"IT-CA3",606,42.38,12.0222,197,"DBF","Csa - Warm temperate with dry, hot summer","Sabbatini, S., Arriga, N., Bertolini, T., Castaldi, S., Chiti, T., Consalvo, C., Njakou Djomo, S., Gioli, B., Matteucci, G. and Papale, D.: Greenhouse gas balance of cropland conversion to bioenergy poplar short-rotation coppice, Biogeosciences, 13(1), 95–113, 2016.","Forest","Temperate"
"IT-Col",3077,41.8494,13.5881,1560,"DBF","Cfa - Warm temperate fully humid with hot summer","Valentini, R., De Angelis, P., Matteucci, G., Monaco, R., Dore, S. and Mugnozza, G. E. S.: Seasonal net carbon dioxide exchange of a beech forest with the atmosphere, Glob. Chang. Biol., 2(3), 199–207, 1996.","Forest","Temperate"
"IT-Cp2",382,41.7043,12.3573,19,"EBF","Csa - Warm temperate with dry, hot summer","Fares, S., Savi, F., Muller, J., Matteucci, G. and Paoletti, E.: Simultaneous measurements of above and below canopy ozone fluxes help partitioning ozone deposition between its various sinks in a Mediterranean Oak Forest, Agric. For. Meteorol., 198–199, 181–191, 2014.","Forest","Temperate"
