"ID","days","latitude","longitude","elevation","IGBP","Koppen","reference_paper","IGBP_2","Koppen_2"
"IT-Cpz",1404,41.7052,12.3761,68,"EBF","Csa - Warm temperate with dry, hot summer","Garbulsky, M.F., Penuelas, J., Papale, D., Filella, I.: Remote estimation of carbon dioxide uptake by a Mediterranean forest. Global Change Biology, 14, 2860–2867, 2008.","Forest","Temperate"
"IT-Isp",516,45.8126,8.6336,210,"DBF","Cfb - Warm temperate fully humid with warm summer","Estimating heterotrophic and autotrophic soil respiration in a semi-natural forest of Lombardy, Italy","Forest","Temperate"
"IT-Lav",3304,45.9562,11.2813,1353,"ENF","Cfb - Warm temperate fully humid with warm summer","Marcolla. B., Pitacco, A., Cescatti, A.: Canopy architecture and turbulence structure in a Coniferous forest. Boundary-Layer Meteorology, 108, 39–59, 2003.","Forest","Temperate"
"IT-MBo",3083,46.0147,11.0458,1550,"GRA","Dfb - Snow fully humid warm summer","Marcolla, B., Cescatti, A., Manca, G., Zorer, R., Cavagna, M., Fiora, A., Gianelle, D., Rodeghiero, M., Sottocornola, M. and Zampedri, R.: Climatic controls and ecosystem responses drive the inter-annual variability of the net ecosystem exchange of an alpine meadow, Agric. For. Meteorol., 151(9), 1233–1243, 2011.","Grassland","Cold"
"IT-Noe",832,40.6062,8.1517,25,"CSH"," -","MARRAS S., PYLES R.D, SIRCA C., PAW U K.T., SNYDER R.L., DUCE P., SPANO D. 2011. Evaluation of the Advanced Canopy-Atmosphere-Soil Algorithm (ACASA) model performance over Mediterranean maquis ecosystem. Agricultural and Forest Meteorology 151: 730-745.","Shrubland","Temperate"
"IT-PT1",664,45.2009,9.061,60,"DBF","Cfa - Warm temperate fully humid with hot summer","Migliavacca, M., Meroni, M., Busetto, L., Colombo, R., Zenone, T., Matteucci, G., Manca, G. and Seufert, G.: Modeling Gross Primary Production of Agro-Forestry Ecosystems by Assimilation of Satellite-Derived Information in a Process-Based Model, Sensors , 9(2), 922–942, 2009.","Forest","Temperate"
"IT-Ren",3067,46.5869,11.4337,1730,"ENF","Dfc - Snow fully humid cool summer","Montagnani, L., Manca, G., Canepa, E., Georgieva, E., Acosta, M., Feigenwinter, C., Janous, D., Kerschbaumer, G., Lindroth, A., Minach, L., Minerbi, S., Mölder, M., Pavelka, M., Seufert, G., Zeri, M. and Ziegler, W.: A new mass conservation approach to the study of CO2 advection in an alpine forest, J. Geophys. Res., 114(D7), D07306, 2009.","Forest","Cold"
"IT-Ro2",1303,42.3903,11.9209,160,"DBF","Csa - Warm temperate with dry, hot summer","Tedeschi, V., Rey, A., Manca, G., Valentini, R., Jarvis, P. G. and Borghetti, M.: Soil respiration in a Mediterranean oak forest at different developmental stages after coppicing, Glob. Chang. Biol., 12(1), 110–121, 2006.","Forest","Temperate"
"IT-SR2",170,43.732,10.2909,4,"ENF","Csa - Warm temperate with dry, hot summer",NA,"Forest","Temperate"
"IT-SRo",665,43.7279,10.2844,6,"ENF","Csa - Warm temperate with dry, hot summer","Chiesi, M., Maselli, F., Bindi, M., Fibbi, L., Cherubini, P., Arlotta, E., Tirone, G., Matteucci, G. and Seufert, G.: Modelling carbon budget of Mediterranean forests using ground and remote sensing measurements, Agric. For. Meteorol., 135(1–4), 22–34, 2005.","Forest","Temperate"
"IT-Tor",1113,45.8444,7.5781,2160,"GRA","Dfc - Snow fully humid cool summer","Galvagno, M., Wohlfahrt, G., Cremonese, E., Rossini, M., Colombo, R., Filippa, G., Julitta, T., Manca, G., Siniscalco, C., di Cella, U. M. and Migliavacca, M.: Phenology and carbon dioxide source/sink strength of a subalpine grassland in response to an exceptionally short snow season, Environ. Res. Lett., 8(2), 025008, 2013.","Grassland","Cold"
"NL-Hor",156,52.2403,5.0713,2.2,"GRA","Cfb - Warm temperate fully humid with warm summer","Jacobs, C. M. J., Jacobs, A. F. G., Bosveld, F. C., Hendriks, D. M. D., Hensen, A., Kroon, P. S., Moors, E. J., Nol, L., Schrier-Uijl, A. and Veenendaal, E. M.: Variability of annual CO2 exchange from Dutch grasslands, Biogeosciences, 4(5), 803–816, 2007.","Grassland","Temperate"
"NL-Loo",4543,52.1666,5.7436,25,"ENF","Cfb - Warm temperate fully humid with warm summer","Moors, E. J.: Water Use of Forests in The Netherlands, PhD-thesis, Vrije Universiteit Amsterdam., the Netherlands, 2012.","Forest","Temperate"
"RU-Fyo",2421,56.4615,32.9221,265,"ENF","Dfb - Snow fully humid warm summer","Kurbatova, J., Li, C., Varlagin, A., Xiao, X. and Vygodskaya, N.: Modeling carbon dynamics in two adjacent spruce forests with different soil conditions in Russia, Biogeosciences, 5(4), 969–980, 2008.","Forest","Cold"
"RU-Ha1",463,54.7252,90.0022,446,"GRA","Dfc - Snow fully humid cool summer","Marchesini, L. B., Papale, D., Reichstein, M., Vuichard, N., Tchebakova, N. and Valentini, R.: Carbon balance assessment of a natural steppe of southern Siberia by multiple constraint approach, Biogeosci. Discuss., 4(1), 165–208, 2007.","Grassland","Cold"
"SD-Dem",1275,13.2829,30.4783,500,"SAV","BWh - Arid desert hot","Ardö, J., Mölder, M., El-Tahir, B. A. and Elkhidir, H. A. M.: Seasonal variation of carbon fluxes in a sparse savanna in semi arid Sudan, Carbon Balance Manag., 3, 7, 2008.","Savanna","Arid"
"SJ-Adv",103,78.186,15.923,17,"WET","ET",NA,"Wetland","Polar"
"SN-Dhr",1061,15.4028,-15.4322,40,"SAV","BWh - Arid desert hot","Tagesson, T., Fensholt, R., Guiro, I., Rasmussen, M. O., Huber, S., Mbow, C., Garcia, M., Horion, S., Sandholt, I., Holm-Rasmussen, B., Göttsche, F. M., Ridler, M.-E., Olén, N., Lundegard Olsen, J., Ehammer, A., Madsen, M., Olesen, F. S. and Ardö, J.: Ecosystem properties of semiarid savanna grassland in West Africa and its relationship with environmental variability, Glob. Chang. Biol., 21(1), 250–264, 2015.","Savanna","Arid"
"US-AR1",899,36.4267,-99.42,611,"GRA","Cfa - Warm temperate fully humid with hot summer","Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, (), ","Grassland","Temperate"
"US-AR2",1061,36.6358,-99.5975,646,"GRA","Cfa - Warm temperate fully humid with hot summer","Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, (), ","Grassland","Temperate"
"US-ARb",381,35.5497,-98.0402,424,"GRA","Cfa - Warm temperate fully humid with hot summer","Fischer, M. L., Torn, M. S., Billesbach, D. P., Doyle, G., Northup, B., Biraud, S. C. (2012) Carbon, Water, And Heat Flux Responses To Experimental Burning And Drought In A Tallgrass Prairie, Agricultural And Forest Meteorology, 166-167(), 169-174","Grassland","Temperate"
"US-ARc",355,35.5465,-98.04,424,"GRA","Cfa - Warm temperate fully humid with hot summer","Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, (), ","Grassland","Temperate"
"US-ARM",2769,36.6058,-97.4888,314,"CRO","Cfa - Warm temperate fully humid with hot summer","Bagley, J. E., Kueppers, L. M., Billesbach, D. P., Williams, I. N., Biraud, S. C., Torn, M. S. (2017) The Influence Of Land Cover On Surface Energy Partitioning And Evaporative Fraction Regimes In The U.S. Southern Great Plains, Journal Of Geophysical Research: Atmospheres, 122(11), 5793-5807","Cropland","Temperate"
"US-Atq",585,70.4696,-157.4089,15,"WET","ET - Polar tundra","Kwon, H.J., Oechel, W.C., Zulueta, R.C., Hastings, S.J. (2005) Effects Of Climate Variability On Carbon Sequestration Among Adjacent Wet Sedge Tundra And Moist Tussock Tundra Ecosystems, Journal Of Geophysical Research: Biogeosciences, 111(G3), 2005-2012","Wetland","Polar"
"US-Blo",2523,38.8953,-120.6328,1315,"ENF","Csb - Warm temperate with dry, warm summer","Baker, B., Guenther, A., Greenberg, J., Goldstein, A., Fall, R. (1999) Canopy Fluxes Of 2-Methyl-3-Buten-2-Ol Over A Ponderosa Pine Forest By Relaxed Eddy Accumulation: Field Data And Model Comparison, Journal Of Geophysical Research: Atmospheres, 104(D21), 26107-26114","Forest","Temperate"
"US-Cop",1140,38.09,-109.39,1520,"GRA","BSk - Arid Steppe cold","Sullivan, R. C., Cook, D. R., Ghate, V. P., Kotamarthi, V. R., Feng, Y. (2019) Improved Spatiotemporal Representativeness And Bias Reduction Of Satellite-Based Evapotranspiration Retrievals Via Use Of In Situ Meteorology And Constrained Canopy Surface Resistance, Journal Of Geophysical Research: Biogeosciences, 124(2), 342-352","Grassland","Arid"
"US-CRT",664,41.6285,-83.3471,180,"CRO","Dfa - Snow with fully humid hot summer","Chu, H., Baldocchi, D. D., Poindexter, C., Abraha, M., Desai, A. R., Bohrer, G., Arain, M. A., Griffis, T., Blanken, P. D., O'Halloran, T. L., Thomas, R. Q., Zhang, Q., Burns, S. P., Frank, J. M., Christian, D., Brown, S., Black, T. A., Gough, C. M., Law, B. E., Lee, X., Chen, J., Reed, D. E., Massman, W. J., Clark, K., Hatfield, J., Prueger, J., Bracho, R., Baker, J. M., Martin, T. A. (2018) Temporal Dynamics Of Aerodynamic Canopy Height Derived From Eddy Covariance Momentum Flux Data Across North American Flux Networks, Geophysical Research Letters, 45(5), 9275–9287","Cropland","Cold"
"US-GBT",1803,41.3658,-106.2397,3191,"ENF","Dfc - Cold/Without_Dry_Season/Cold_Summer","Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, 45(2), 9275–9287","Forest","Cold"
"US-GLE",2953,41.3665,-106.2399,3197,"ENF","Dfb - Snow fully humid warm summer","Arain, M. A., Restrepo-Coupe, N. (2005) Net Ecosystem Production In A Temperate Pine Plantation In Southeastern Canada, Agricultural And Forest Meteorology, 128(3-4), 223-241","Forest","Cold"
"US-Goo",1273,34.2547,-89.8735,87,"GRA","Cfa - Warm temperate fully humid with hot summer","Benjamin R. K. Runkle, James R. Rigbyb, Michele L. Rebac, Saseendran S. Anapallid, Joydeep Bhattacharjeee, Ken W. Kraussf, Lu Liangg, Martin A. Locke, Kimberly A. Novick, Ruixiu Suid, Kosana Suvočareva and Paul M. White (2017) Delta-Flux: An Eddy Covariance Network for a Climate-Smart Lower Mississippi Basin, Agricultural &amp; Environmental Letters, 2(1), 170003 - 170003","Grassland","Temperate"
"US-IB2",2111,41.8406,-88.241,226.5,"GRA","Dfa - Snow with fully humid hot summer","Allison, V. J., Miller, R. M., Jastrow, J. D., Matamala, R., Zak, D. R. (2005) Changes In Soil Microbial Community Structure In A Tallgrass Prairie Chronosequence, Soil Science Society Of America Journal, 69(5), 1412-1421","Grassland","Cold"
"US-Ivo",631,68.4865,-155.7503,568,"WET","ET - Polar tundra","McEwing, K. R., Fisher, J. P., Zona, D. (2015) Environmental And Vegetation Controls On The Spatial Variability Of CH4 Emission From Wet-Sedge And Tussock Tundra Ecosystems In The Arctic, Plant And Soil, 388(1-2), 37-52","Wetland","Polar"
"US-KS2",853,28.6086,-80.6715,3,"CSH","Cfa - Warm temperate fully humid with hot summer","Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, 207(1), 117-126","Shrubland","Temperate"
"US-Lin",315,36.3566,-119.0922,131,"CRO","BSk","Fares, S., Vargas, R., Detto, M., Goldstein, A. H., Karlik, J., Paoletti, E., Vitale, M. (2013) Tropospheric Ozone Reduces Carbon Assimilation In Trees: Estimates From Analysis Of Continuous Flux Measurements, Global Change Biology, 19(8), 2427-2443","Cropland","Arid"
"US-Los",1937,46.0827,-89.9792,480,"WET","Dfb - Snow fully humid warm summer","Baker, I., Denning, A. S., Hanan, N., Prihodko, L., Uliasz, M., Vidale, P., Davis, K., Bakwin, P. (2003) Simulated And Observed Fluxes Of Sensible And Latent Heat And CO2 At The WLEF-TV Tower Using SiB2.5, Global Change Biology, 9(9), 1262-1277","Wetland","Cold"
"US-LWW",666,34.9604,-97.9789,365,"GRA","Cfa - Warm temperate fully humid with hot summer","Meyers, T. P. (2001) A Comparison Of Summertime Water And CO2 Fluxes Over Rangeland For Well Watered And Drought Conditions, Agricultural And Forest Meteorology, 106(3), 205-214","Grassland","Temperate"
"US-Me1",162,44.5794,-121.5,896,"ENF","Csb - Warm temperate with dry, warm summer","Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, 10(9), 1470-1481","Forest","Temperate"
"US-Me2",3162,44.4523,-121.5574,1253,"ENF","Csb - Warm temperate with dry, warm summer","Campbell, J. L., Sun, O. J., Law, B. E. (2004) Disturbance And Net Ecosystem Production Across Three Climatically Distinct Forest Landscapes, Global Biogeochemical Cycles, 18(4), n/a-n/a","Forest","Temperate"
"US-Me4",698,44.4992,-121.6224,922,"ENF","Csb - Warm temperate with dry, warm summer","Anthoni, P. M., Law, B. E., Unsworth, M. H. (1999) Carbon And Water Vapor Exchange Of An Open-Canopied Ponderosa Pine Ecosystem, Agricultural And Forest Meteorology, 95(3), 151-168","Forest","Temperate"
"US-Me5",589,44.4372,-121.5668,1188,"ENF","Csb - Warm temperate with dry, warm summer","Anthoni, P. M., Unsworth, M. H., Law, B. E., Irvine, J., Baldocchi, D. D., Tuyl, S. V., Moore, D. (2002) Seasonal Differences In Carbon And Water Vapor Exchange In Young And Old-Growth Ponderosa Pine Ecosystems, Agricultural And Forest Meteorology, 111(3), 203-222","Forest","Temperate"
"US-Me6",98,44.3233,-121.6078,998,"ENF","Csb - Warm temperate with dry, warm summer","Chu, H., Baldocchi, D. D., Poindexter, C., Abraha, M., Desai, A. R., Bohrer, G., Arain, M. A., Griffis, T., Blanken, P. D., O'Halloran, T. L., Thomas, R. Q., Zhang, Q., Burns, S. P., Frank, J. M., Christian, D., Brown, S., Black, T. A., Gough, C. M., Law, B. E., Lee, X., Chen, J., Reed, D. E., Massman, W. J., Clark, K., Hatfield, J., Prueger, J., Bracho, R., Baker, J. M., Martin, T. A. (2018) Temporal Dynamics Of Aerodynamic Canopy Height Derived From Eddy Covariance Momentum Flux Data Across North American Flux Networks, Geophysical Research Letters, 45(21), 9275–9287","Forest","Temperate"
"US-MMS",4420,39.3232,-86.4131,275,"DBF","Cfa - Warm temperate fully humid with hot summer","Baldocchi, D. D., Black, T. A., Curtis, P. S., Falge, E., Fuentes, J. D., Granier, A., Gu, L., Knohl, A., Lee, X., Pilegaard, K., Schmid, H. P., Valentini, R., Wilson, K., Wofsy, S., Xu, L., Yamamoto, S. (2005) Predicting The Onset Of Net Carbon Uptake By Deciduous Forests With Soil Temperature And Climate Data: A Synthesis Of FLUXNET Data, International Journal Of Biometeorology, 49(6), 377-387","Forest","Temperate"
"US-Ne1",3755,41.1651,-96.4766,361,"CRO","Dfa - Snow with fully humid hot summer","Amos, B., Arkebauer, T. J., Doran, J. W. (2005) Soil Surface Fluxes Of Greenhouse Gases In An Irrigated Maize-Based Agroecosystem, Soil Science Society Of America Journal, 69(2), 387-395","Cropland","Cold"
"US-Ne2",3716,41.1649,-96.4701,362,"CRO","Dfa - Snow with fully humid hot summer","Amos, B., Arkebauer, T. J., Doran, J. W. (2005) Soil Surface Fluxes Of Greenhouse Gases In An Irrigated Maize-Based Agroecosystem, Soil Science Society Of America Journal, 69(2), 387-395","Cropland","Cold"
"US-Ne3",3753,41.1797,-96.4397,363,"CRO","Dfa - Snow with fully humid hot summer","Amos, B., Arkebauer, T. J., Doran, J. W. (2005) Soil Surface Fluxes Of Greenhouse Gases In An Irrigated Maize-Based Agroecosystem, Soil Science Society Of America Journal, 69(2), 387-395","Cropland","Cold"
"US-NR1",4736,40.0329,-105.5464,3050,"ENF","Dfc - Snow fully humid cool summer","Albert, L. P., Keenan, T. F., Burns, S. P., Huxman, T. E., Monson, R. K. (2017) Climate Controls Over Ecosystem Metabolism: Insights From A Fifteen-Year Inductive Artificial Neural Network Synthesis For A Subalpine Forest, Oecologia, 184(1), 25-41","Forest","Cold"
"US-Oho",2527,41.5545,-83.8438,230,"DBF","Dfa - Snow with fully humid hot summer","Chu, H., Baldocchi, D. D., Poindexter, C., Abraha, M., Desai, A. R., Bohrer, G., Arain, M. A., Griffis, T., Blanken, P. D., O'Halloran, T. L., Thomas, R. Q., Zhang, Q., Burns, S. P., Frank, J. M., Christian, D., Brown, S., Black, T. A., Gough, C. M., Law, B. E., Lee, X., Chen, J., Reed, D. E., Massman, W. J., Clark, K., Hatfield, J., Prueger, J., Bracho, R., Baker, J. M., Martin, T. A. (2018) Temporal Dynamics Of Aerodynamic Canopy Height Derived From Eddy Covariance Momentum Flux Data Across North American Flux Networks, Geophysical Research Letters, 45(11), 9275–9287","Forest","Cold"
"US-Prr",277,65.1237,-147.4876,210,"ENF","Dfc - Snow fully humid cool summer"," (2015) Understory CO2, Sensible Heat, and Latent Heat Fluxes in a Black Spruce Forest in Interior Alaska, Agricultural And Forest Meteorology, 214-215(2), 80-90","Forest","Cold"
"US-SRC",623,31.9083,-110.8395,950,"OSH","BSk - Arid Steppe cold","Wolf, S., Keenan, T.F., Fisher, J.B., Baldocchi, D.D., Desai, A.R., Richardson, A.D., Scott, R.L., Law, B.E., Litvak, M.E., Brunsell, N.A., Peters, W., van der Laan-Luijkx, I.T. (2016) Warm spring reduced carbon cycle impact of the 2012 US summer drought, Proceedings of the National Academy of Sciences, 113(21), 5880-5885","Shrubland","Arid"
"US-SRG",2302,31.7894,-110.8277,1291,"GRA","BSk - Arid Steppe cold","Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, 45(2), 748-757","Grassland","Arid"
"US-SRM",3727,31.8214,-110.8661,1120,"WSA","BSk - Arid Steppe cold","Barron-Gafford, G. A., Scott, R. L., Jenerette, G. D., Hamerlynck, E. P., Huxman, T. E. (2013) Landscape And Environmental Controls Over Leaf And Ecosystem Carbon Dioxide Fluxes Under Woody Plant Expansion, Journal Of Ecology, 101(6), 1471-1483","Savanna","Arid"
"US-Syv",1568,46.242,-89.3477,540,"MF","Dfb - Snow fully humid warm summer","Barr, A., Richardson, A., Hollinger, D., Papale, D., Arain, M., Black, T., Bohrer, G., Dragoni, D., Fischer, M., Gu, L., Law, B., Margolis, H., McCaughey, J., Munger, J., Oechel, W., Schaeffer, K. (2013) Use Of Change-Point Detection For Friction–Velocity Threshold Evaluation In Eddy-Covariance Studies, Agricultural And Forest Meteorology, 171-172(7), 31-45","Forest","Cold"
"US-Ton",4327,38.4309,-120.966,177,"WSA","Csa - Warm temperate with dry, hot summer","Baldocchi, D. D., Ma, S., Rambal, S., Misson, L., Ourcival, J., Limousin, J., Pereira, J., Papale, D. (2010) On The Differential Advantages Of Evergreenness And Deciduousness In Mediterranean Oak Woodlands: A Flux Perspective, Ecological Applications, 20(6), 1583-1597","Savanna","Temperate"
"US-Tw2",281,38.1047,-121.6433,-5,"CRO","Csa - Warm temperate with dry, hot summer","Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, 20(8), 1619-1633","Cropland","Temperate"
"US-Tw3",484,38.1152,-121.6469,-9,"CRO","Csa - Warm temperate with dry, hot summer","Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, 45(), 9275–9287","Cropland","Temperate"
"US-Tw4",357,38.1027,-121.6413,-5,"WET","Csa - Warm temperate with dry, hot summer","Chamberlain, S. D., Verfaillie, J., Eichelmann, E., Hemes, K. S., Baldocchi, D. D. (2017) Evaluation Of Density Corrections To Methane Fluxes Measured By Open-Path Eddy Covariance Over Contrasting Landscapes, Boundary-Layer Meteorology, 122(1), 145-167","Wetland","Temperate"
"US-Var",3359,38.4133,-120.9508,129,"GRA","Csa - Warm temperate with dry, hot summer","Baldocchi, D. D., Xu, L., Kiang, N. (2004) How Plant Functional-Type, Weather, Seasonal Drought, And Soil Physical Properties Alter Water And Energy Fluxes Of An Oak–Grass Savanna And An Annual Grassland, Agricultural And Forest Meteorology, 123(1-2), 13-39","Grassland","Temperate"
"US-WCr",2102,45.8059,-90.0799,520,"DBF","Dfb - Snow fully humid warm summer","Baker, I., Denning, A. S., Hanan, N., Prihodko, L., Uliasz, M., Vidale, P., Davis, K., Bakwin, P. (2003) Simulated And Observed Fluxes Of Sensible And Latent Heat And CO2 At The WLEF-TV Tower Using SiB2.5, Global Change Biology, 9(9), 1262-1277","Forest","Cold"
"US-Whs",2619,31.7438,-110.0522,1370,"OSH","BSk - Arid Steppe cold","Biederman, J. A., Scott, R. L., Bell, T. W., Bowling, D. R., Dore, S., Garatuza-Payan, J., Kolb, T. E., Krishnan, P., Krofcheck, D. J., Litvak, M. E., Maurer, G. E., Meyers, T. P., Oechel, W. C., Papuga, S. A., Ponce-Campos, G. E., Rodriguez, J. C., Smith, W. K., Vargas, R., Watts, C. J., Yepez, E. A., Goulden, M. L. (2017) Co2 Exchange And Evapotranspiration Across Dryland Ecosystems Of Southwestern North America, Global Change Biology, 23(10), 4204-4221","Shrubland","Arid"
"US-Wi0",143,46.6188,-91.0814,349,"ENF","Dfb - Snow fully humid warm summer","Chu, H., Baldocchi, D. D., Poindexter, C., Abraha, M., Desai, A. R., Bohrer, G., Arain, M. A., Griffis, T., Blanken, P. D., O'Halloran, T. L., Thomas, R. Q., Zhang, Q., Burns, S. P., Frank, J. M., Christian, D., Brown, S., Black, T. A., Gough, C. M., Law, B. E., Lee, X., Chen, J., Reed, D. E., Massman, W. J., Clark, K., Hatfield, J., Prueger, J., Bracho, R., Baker, J. M., Martin, T. A. (2018) Temporal Dynamics Of Aerodynamic Canopy Height Derived From Eddy Covariance Momentum Flux Data Across North American Flux Networks, Geophysical Research Letters, 45(2), 9275–9287","Forest","Cold"
"US-Wi3",296,46.6347,-91.0987,411,"DBF","Dfb - Snow fully humid warm summer","Chu, H., Baldocchi, D. D., Poindexter, C., Abraha, M., Desai, A. R., Bohrer, G., Arain, M. A., Griffis, T., Blanken, P. D., O'Halloran, T. L., Thomas, R. Q., Zhang, Q., Burns, S. P., Frank, J. M., Christian, D., Brown, S., Black, T. A., Gough, C. M., Law, B. E., Lee, X., Chen, J., Reed, D. E., Massman, W. J., Clark, K., Hatfield, J., Prueger, J., Bracho, R., Baker, J. M., Martin, T. A. (2018) Temporal Dynamics Of Aerodynamic Canopy Height Derived From Eddy Covariance Momentum Flux Data Across North American Flux Networks, Geophysical Research Letters, 45(2), 9275–9287","Forest","Cold"
"US-Wi4",412,46.7393,-91.1663,352,"ENF","Dfb - Snow fully humid warm summer","Chu, H., Baldocchi, D. D., Poindexter, C., Abraha, M., Desai, A. R., Bohrer, G., Arain, M. A., Griffis, T., Blanken, P. D., O'Halloran, T. L., Thomas, R. Q., Zhang, Q., Burns, S. P., Frank, J. M., Christian, D., Brown, S., Black, T. A., Gough, C. M., Law, B. E., Lee, X., Chen, J., Reed, D. E., Massman, W. J., Clark, K., Hatfield, J., Prueger, J., Bracho, R., Baker, J. M., Martin, T. A. (2018) Temporal Dynamics Of Aerodynamic Canopy Height Derived From Eddy Covariance Momentum Flux Data Across North American Flux Networks, Geophysical Research Letters, 45(2), 9275–9287","Forest","Cold"
"US-Wi6",152,46.6249,-91.2982,371,"OSH","Dfb - Snow fully humid warm summer","Desai, A. R., Noormets, A., Bolstad, P. V., Chen, J., Cook, B. D., Davis, K. J., Euskirchen, E. S., Gough, C., Martin, J. G., Ricciuto, D. M., Schmid, H. P., Tang, J., Wang, W. (2008) Influence Of Vegetation And Seasonal Forcing On Carbon Dioxide Fluxes Across The Upper Midwest, Usa: Implications For Regional Scaling, Agricultural And Forest Meteorology, 148(2), 288-308","Shrubland","Cold"
"US-Wi8",143,46.7223,-91.2524,348,"DBF","Dfb - Snow fully humid warm summer","Chu, H., Baldocchi, D. D., Poindexter, C., Abraha, M., Desai, A. R., Bohrer, G., Arain, M. A., Griffis, T., Blanken, P. D., O'Halloran, T. L., Thomas, R. Q., Zhang, Q., Burns, S. P., Frank, J. M., Christian, D., Brown, S., Black, T. A., Gough, C. M., Law, B. E., Lee, X., Chen, J., Reed, D. E., Massman, W. J., Clark, K., Hatfield, J., Prueger, J., Bracho, R., Baker, J. M., Martin, T. A. (2018) Temporal Dynamics Of Aerodynamic Canopy Height Derived From Eddy Covariance Momentum Flux Data Across North American Flux Networks, Geophysical Research Letters, 45(2), 9275–9287","Forest","Cold"
"US-Wkg",3716,31.7365,-109.9419,1531,"GRA","BSk - Arid Steppe cold","Biederman, J. A., Scott, R. L., Bell, T. W., Bowling, D. R., Dore, S., Garatuza-Payan, J., Kolb, T. E., Krishnan, P., Krofcheck, D. J., Litvak, M. E., Maurer, G. E., Meyers, T. P., Oechel, W. C., Papuga, S. A., Ponce-Campos, G. E., Rodriguez, J. C., Smith, W. K., Vargas, R., Watts, C. J., Yepez, E. A., Goulden, M. L. (2017) Co2 Exchange And Evapotranspiration Across Dryland Ecosystems Of Southwestern North America, Global Change Biology, 23(10), 4204-4221","Grassland","Arid"
"ZM-Mon",656,-15.4391,23.2525,1053,"DBF","Aw - Equatorial savannah with dry winter","Merbold, L., Ardö, J., Arneth, A., Scholes, R. J., Nouvellon, Y., Grandcourt, A. de, Archibald, S., Bonnefond, J. M., Boulain, N., Brueggemann, N., Bruemmer, C., Cappelaere, B., Ceschia, E., El-Khidir, H. A. M., El-Tahir, B. A., Falk, U., Lloyd, J., Kergoat, L., Dantec, V. L., Mougin, E., Muchinda, M., Mukelabai, M. M., Ramier, D., Roupsard, O., Timouk, F., Veenendaal, E. M. and Kutsch, W. L.: Precipitation as driver of carbon fluxes in 11 African ecosystems, Biogeosciences, 6(6), 1027–1041, 2009b.","Forest","Tropical"
